Sex,Sex,School Code,Playing Years,Playing Often,Playing Hours,Playing Games,Parent Revenue,Father Education,Mother Education,Grade,percentage,Error Check,Percentage
1,Male,1,4,1,2,1,2,4,4,55,"5500,00%",OK,55.00%
0,Female,1,1,5,1,1,1,2,1,93,"9300,00%",OK,93.00%
1,Male,1,4,1,4,1,1,4,4,50,"5000,00%",OK,50.00%
1,Male,1,4,5,5,1,2,5,3,65,"6500,00%",OK,65.00%
1,Male,1,4,1,3,1,1,4,4,50,"5000,00%",OK,50.00%
1,Male,1,0,0,0,0,1,2,1,60,"6000,00%",OK,60.00%
0,Female,1,1,4,3,1,1,3,1,70,"7000,00%",OK,70.00%
0,Female,1,1,4,2,1,2,3,3,95,"9500,00%",OK,95.00%
1,Male,1,0,0,0,0,2,6,4,100,"10000,00%",OK,100.00%
0,Female,1,2,5,1,1,2,3,2,80,"8000,00%",OK,80.00%
0,Female,1,1,2,1,1,2,2,2,90.7,"9070,00%",OK,90.70%
0,Female,1,2,3,2,1,2,4,4,78,"7800,00%",OK,78.00%
0,Female,1,1,2,1,1,2,4,4,60,"6000,00%",OK,60.00%
1,Male,1,1,5,2,1,3,5,4,95,"9500,00%",OK,95.00%
0,Female,1,0,0,0,0,3,4,2,75,"7500,00%",OK,75.00%
1,Male,1,3,1,3,1,3,4,4,65,"6500,00%",OK,65.00%
1,Male,1,1,1,2,1,2,2,3,68,"6800,00%",OK,68.00%
1,Male,1,1,3,3,1,3,6,6,75,"7500,00%",OK,75.00%
0,Female,1,0,0,0,0,1,4,4,70,"7000,00%",OK,70.00%
1,Male,1,1,4,2,1,4,4,4,85,"8500,00%",OK,85.00%
1,Male,1,1,3,1,1,3,4,3,70,"7000,00%",OK,70.00%
1,Male,1,2,4,3,1,2,5,2,64,"6400,00%",OK,64.00%
1,Male,1,2,1,2,1,2,2,4,42.35,"4235,00%",OK,42.35%
0,Female,1,4,5,2,1,2,3,2,55,"5500,00%",OK,55.00%
0,Female,1,0,0,0,0,2,5,5,72.5,"7250,00%",OK,72.50%
1,Male,1,1,3,1,1,3,3,3,55,"5500,00%",OK,55.00%
0,Female,1,2,2,2,1,1,2,3,65,"6500,00%",OK,65.00%
0,Female,2,0,0,0,0,2,1,3,85,"8500,00%",OK,85.00%
0,Female,2,0,0,0,0,2,4,4,60,"6000,00%",OK,60.00%
1,Male,2,1,1,3,1,3,4,4,75,"7500,00%",OK,75.00%
1,Male,2,4,5,2,1,2,3,3,40,"4000,00%",OK,40.00%
1,Male,2,4,3,2,1,1,2,2,50,"5000,00%",OK,50.00%
1,Male,2,4,1,4,1,1,4,4,45,"4500,00%",OK,45.00%
1,Male,2,1,5,1,1,1,3,4,55,"5500,00%",OK,55.00%
1,Male,2,2,3,3,1,1,3,3,63,"6300,00%",OK,63.00%
1,Male,2,1,5,1,1,2,2,3,50,"5000,00%",OK,50.00%
1,Male,2,3,3,2,1,1,2,4,40,"4000,00%",OK,40.00%
1,Male,2,1,5,2,1,1,3,1,40,"4000,00%",OK,40.00%
0,Female,2,1,5,1,1,1,2,3,86,"8600,00%",OK,86.00%
0,Female,2,1,3,1,1,1,3,4,62,"6200,00%",OK,62.00%
1,Male,2,1,4,1,1,1,2,3,75,"7500,00%",OK,75.00%
0,Female,2,1,2,1,1,2,3,2,89,"8900,00%",OK,89.00%
1,Male,2,0,0,0,0,2,5,4,75,"7500,00%",OK,75.00%
1,Male,2,1,5,1,1,3,2,2,50,"5000,00%",OK,50.00%
0,Female,2,1,4,2,1,1,2,2,88,"8800,00%",OK,88.00%
0,Female,2,1,2,2,1,2,2,3,90,"9000,00%",OK,90.00%
0,Female,2,2,3,3,1,2,5,2,90,"9000,00%",OK,90.00%
0,Female,2,0,0,0,0,1,3,2,70,"7000,00%",OK,70.00%
1,Male,2,3,5,3,1,2,4,3,48,"4800,00%",OK,48.00%
0,Female,2,1,2,1,1,1,4,4,57.75,"5775,00%",OK,57.75%
1,Male,2,1,5,1,1,1,2,2,70,"7000,00%",OK,70.00%
0,Female,2,2,3,2,1,1,3,3,70,"7000,00%",OK,70.00%
0,Female,2,0,0,0,0,1,5,3,94,"9400,00%",OK,94.00%
0,Female,2,3,3,3,1,2,2,2,90,"9000,00%",OK,90.00%
1,Male,2,1,4,1,1,3,2,3,60,"6000,00%",OK,60.00%
0,Female,2,1,4,1,1,1,2,1,70,"7000,00%",OK,70.00%
0,Female,2,2,3,1,1,1,4,2,55,"5500,00%",OK,55.00%
